ProductName,ProductShortDescription,CSProductCategory,CSProductSubCategory,TopLevel,SKU,NewDate,Promotion,SA Price,Botswana Price,Namibia Price,ActionIndicator
Bum-Bum Band Drum,"15cm, Assorted Colours",General Toys,Musical Toys,"TOYS, GAMES AND SPORT",065-000239,2000-01-01 00:00:00,,46.98,44.98,49.98,D
Ear Drops Earphones,Assorted Colours,Multimedia,Audio Visual Accessories,HOUSEHOLD,004-078985,2010-05-05 00:00:00,,19.99,18.99,21.99,D
